wl (nm),n,k
633.793800152738,0.777184323962142,1.81015406062806
634.57779889186,0.775876923586395,1.81471282484526
635.361797630981,0.774577264865956,1.81927743706997
636.145796370104,0.773285437148459,1.82384781800507
636.929795109226,0.772001526994526,1.82842388705009
637.713793848349,0.770725618196622,1.83300556238409
638.49779258747,0.769457791799224,1.8375927610468
639.281791326592,0.768198126120514,1.84218539901754
640.065790065713,0.766946696775302,1.84678339129241
640.849788804836,0.765703576699247,1.85138665195938
641.63378754396,0.764468836174288,1.85599509427131
642.417786283082,0.763242542855052,1.86060863071748
643.201785022202,0.762024761796481,1.86522717309267
643.985783761326,0.760815555482284,1.86985063256476
644.769782500446,0.759614983854395,1.87447891974015
645.553781239568,0.758423104343278,1.87911194472743
646.337779978691,0.757239971898995,1.88374961719915
647.121778717813,0.756065639023058,1.8883918464517
647.905777456937,0.754900155800814,1.89303854146371
648.689776196057,0.753743569934725,1.89768961095193
649.47377493518,0.752595926777929,1.90234496342615
650.257773674303,0.751457269368502,1.90700450724179
651.041772413424,0.750327638464082,1.91166815065112
651.825771152547,0.749207072577074,1.91633580185227
652.60976989167,0.748095608009966,1.9210073690373
653.393768630792,0.746993278891208,1.92568276043794
654.177767369912,0.745900117211253,1.93036188437006
654.961766109034,0.744816152858887,1.93504464927639
655.745764848156,0.743741413657681,1.93973096376782
656.529763587278,0.742675925402734,1.94442073666288
657.313762326401,0.741619711897401,1.94911387702601
658.097761065522,0.740572794990214,1.95381029420407
658.881759804643,0.739535194611746,1.95850989786167
659.665758543765,0.738506928811595,1.9632125980148
660.449757282887,0.737488013795316,1.96791830506313
661.233756022012,0.736478463961264,1.97262692982112
662.017754761131,0.735478291937467,1.97733838354738
662.801753500255,0.734487508618225,1.98205257797334
663.585752239378,0.733506123200796,1.9867694253299
664.369750978499,0.732534143221772,1.99148883837339
665.15374971762,0.73157157459329,1.9962107304101
665.937748456742,0.730618421639166,2.0009350153195
666.721747195866,0.729674687130611,2.00566160757657
667.505745934989,0.728740372321892,2.01039042227271
668.28974467411,0.727815476985642,2.01512137513566
669.073743413232,0.726899999447867,2.01985438254847
669.857742152354,0.72599393662274,2.02458936156708
670.641740891475,0.725097284046987,2.02932622993734
671.4257396306,0.724210035914012,2.03406490611063
672.209738369719,0.723332185107683,2.03880530925866
672.993737108844,0.722463723235741,2.04354735928741
673.777735847966,0.721604640662843,2.04829097684997
674.561734587087,0.720754926543192,2.05303608335885
675.345733326208,0.719914568852919,2.05778260099685
676.129732065329,0.719083554421849,2.06253045272783
676.913730804454,0.7182618689651,2.06727956230596
677.697729543574,0.717449497114088,2.0720298542846
678.481728282698,0.71664642244719,2.07678125402448
679.265727021819,0.715852627519966,2.08153368770085
680.049725760941,0.715068093894977,2.08628708231012
680.833724500063,0.714292802171096,2.09104136567584
681.617723239184,0.713526732012481,2.09579646645382
682.401721978306,0.712769862176985,2.10055231413693
683.185720717428,0.712022170544238,2.10530883905887
683.969719456551,0.711283634143175,2.1100659723978
684.753718195672,0.710554229179164,2.11482364617906
685.537716934797,0.709833931060665,2.11958179327754
686.321715673918,0.709122714425485,2.12434034741924
687.105714413039,0.708420553166465,2.12909924318276
687.889713152161,0.707727420456826,2.13385841599992
688.673711891282,0.707043288774964,2.13861780215612
689.457710630407,0.706368129928892,2.14337733879008
690.241709369528,0.705701915080119,2.14813696389331
691.025708108649,0.705044614767184,2.152896616309
691.809706847772,0.7043961989286,2.15765623573085
692.593705586895,0.703756636925517,2.16241576270097
693.377704326015,0.703125897563841,2.16717513860779
694.161703065136,0.702503949115838,2.17193430568381
694.945701804259,0.701890759341504,2.17669320700234
695.729700543382,0.701286295509263,2.18145178647474
696.513699282503,0.700690524416419,2.18620998884663
697.297698021626,0.700103412409076,2.19096775969429
